ID,Price
70000,403334.9058579387
70001,315123.7704237762
70002,189256.8504407673
70003,310327.5423842397
70004,223458.58925297402
70005,195871.44551727595
70006,199641.1706950555
70007,333264.43132110883
70008,206363.6659520332
70009,165645.08865089892
70010,236330.18241285783
70011,325788.389707562
70012,136938.59543555763
70013,192872.8547888433
70014,113093.81231201257
70015,170853.57049558143
70016,187453.34821041656
70017,326785.45451212826
70018,254572.96109927655
70019,179358.82593114255
70020,180881.66268694852
70021,207386.82137888542
70022,114340.94300089448
70023,192931.49211655016
70024,206482.41491916165
70025,229722.03478486417
70026,173925.52005955658
70027,194661.75953006092
70028,207403.6116169865
70029,131581.85420096625
70030,179672.28156340332
70031,217370.91039797768
70032,371479.7514122381
70033,200269.9597867955
70034,208725.06146125862
70035,171072.9147543857
70036,118551.75952183269
70037,159862.31884769443
70038,218816.44749259728
70039,165518.87699433358
70040,351622.13104058674
70041,195364.79366580019
70042,171785.62671861873
70043,172265.51979931808
70044,184018.1328327672
70045,198342.10179266508
70046,169451.9016631839
70047,347914.4829772048
70048,188968.9568382476
70049,180876.93194576737
70050,204042.58082058863
70051,335324.9231888459
70052,205012.06738002668
70053,325124.17326641653
70054,145781.77748388966
70055,302236.9076642471
70056,226846.91813245803
70057,356117.863133674
70058,336270.6017891442
70059,207688.09100911033
70060,208212.62751818798
70061,172945.85632475425
70062,200782.7309493529
70063,171221.12401782797
70064,362557.09277710813
70065,392635.83993911475
70066,366134.08693832357
70067,354112.5447283801
70068,162364.89004088799
70069,211090.2851597601
70070,178706.86517487277
70071,159724.60248661874
70072,366321.13577669393
70073,170692.9725547693
70074,123847.18469293386
70075,165433.0173319538
70076,367116.78532903397
70077,120338.62716453974
70078,181607.19038039428
70079,151095.65413800563
70080,181589.40337262908
70081,218194.02749494184
70082,187890.4713281153
70083,190288.8050357744
70084,209749.05525245654
70085,176158.7957729607
70086,316706.76269284013
70087,152548.79887935123
70088,232903.86722270446
70089,211856.78352580353
70090,185961.7099942098
70091,342242.34299859847
70092,146841.70738173748
70093,218683.89115409344
70094,207995.16567047648
70095,344173.3848145047
70096,375764.76897511317
70097,220980.00924665865
70098,166207.9531285108
70099,205100.5579363468
70100,200262.30252063193
70101,322047.6923291221
70102,168376.5793947159
70103,182137.08704597465
70104,178255.5778616275
70105,119988.51748258494
70106,142205.86450904724
70107,165598.01471151266
70108,228675.31364868302
70109,326988.47525668144
70110,176342.56928702755
70111,180883.19851285202
70112,214619.67204329488
70113,200105.87636996526
70114,315907.74083112157
70115,196599.34884243144
70116,132503.67686086375
70117,156709.6053225337
70118,163670.9752507968
70119,215137.27234361303
70120,144619.83538551614
70121,217740.2316667797
70122,231665.8365078529
70123,220044.27801030135
70124,331808.81906787516
70125,199345.34310340826
70126,308818.7225047558
70127,126615.96072786205
70128,189754.60520159494
70129,175018.4351144703
70130,229541.80247464162
70131,183490.7326415499
70132,230471.75999053096
70133,179263.13364367327
70134,227249.5618881479
70135,137811.67374856825
70136,201919.90530463608
70137,304383.7837671478
70138,324982.7076412502
70139,139767.60041713231
70140,279680.2564520601
70141,364332.1165595589
70142,314739.75392969704
70143,152075.5321217528
70144,174197.02195003023
70145,214628.73537948562
70146,208045.0010118662
70147,338062.06151415256
70148,175545.61947834137
70149,222167.79961577174
70150,356210.35200993466
70151,348028.165725155
70152,167973.9772589936
70153,163461.0311515439
70154,210755.75447920547
70155,312402.9799906927
70156,346839.36705249094
70157,184938.6101520276
70158,181895.03510541617
70159,226786.4459299447
70160,379601.0199188588
70161,213513.46868764918
70162,217338.86615273159
70163,163241.23136415676
70164,121332.92524140663
70165,400147.21270714654
70166,358444.100973248
70167,200561.07234677323
70168,386009.325432527
70169,171822.48751035554
70170,200372.78946853193
70171,167727.40425547946
70172,314781.6123411357
70173,341679.7376228114
70174,219495.73768465692
70175,319702.36103778065
70176,206429.0866474618
70177,425500.8313178718
70178,224093.29454672994
70179,210142.87658218865
70180,187633.45928392312
70181,341598.3775502593
70182,167216.4274946755
70183,213072.67073586228
70184,204062.6666902756
70185,170075.45053534012
70186,222810.62825768604
70187,190905.96998406434
70188,235764.6861772709
70189,326975.12348360056
70190,212910.2180401826
70191,159199.8819546565
70192,192651.92090752814
70193,181126.7629981932
70194,190845.7435259961
70195,160855.68488383348
70196,134565.5573299715
